ruuvi.local ruuvitag.example.data_format 5
ruuvi.local ruuvitag.example.humidity 53.19
ruuvi.local ruuvitag.example.temperature 7.97
ruuvi.local ruuvitag.example.pressure 993.92
ruuvi.local ruuvitag.example.acceleration 1022.9760505505493
ruuvi.local ruuvitag.example.acceleration_x 656
ruuvi.local ruuvitag.example.acceleration_y 780
ruuvi.local ruuvitag.example.acceleration_z -88
ruuvi.local ruuvitag.example.tx_power 4
ruuvi.local ruuvitag.example.battery 2883
ruuvi.local ruuvitag.example.movement_counter 37
ruuvi.local ruuvitag.example.measurement_sequence_number 58974
ruuvi.local ruuvitag.example.mac examplemac1
ruuvi.local ruuvitag.tag2.data_format 5
ruuvi.local ruuvitag.tag2.humidity 38.69
ruuvi.local ruuvitag.tag2.temperature 21.05
ruuvi.local ruuvitag.tag2.pressure 992.78
ruuvi.local ruuvitag.tag2.acceleration 1020.2823138719989
ruuvi.local ruuvitag.tag2.acceleration_x -432
ruuvi.local ruuvitag.tag2.acceleration_y -456
ruuvi.local ruuvitag.tag2.acceleration_z 804
ruuvi.local ruuvitag.tag2.tx_power 4
ruuvi.local ruuvitag.tag2.battery 3111
ruuvi.local ruuvitag.tag2.movement_counter 25
ruuvi.local ruuvitag.tag2.measurement_sequence_number 2524
ruuvi.local ruuvitag.tag2.mac examplemac2
